Name,Version
libkrb5support0:amd64,1.16-2ubuntu0.1
libksba8:amd64,1.3.5-2
liblcms2-2:amd64,2.9-1ubuntu0.1
libldap-2.4-2:amd64,2.4.45+dfsg-1ubuntu1
libldap-common,2.4.45+dfsg-1ubuntu1
libllvm6.0:amd64,1:6.0-1ubuntu2
liblocale-gettext-perl,1.07-3build2
liblsan0:amd64,8.2.0-1ubuntu2~18.04
liblvm2app2.2:amd64,2.02.176-4.1ubuntu3
liblvm2cmd2.02:amd64,2.02.176-4.1ubuntu3
liblwres160:amd64,1:9.11.3+dfsg-1ubuntu1.2
liblxc-common,3.0.1-0ubuntu1~18.04.2
liblxc1,3.0.1-0ubuntu1~18.04.2
liblz4-1:amd64,0.0~r131-2ubuntu3
liblzma5:amd64,5.2.2-1.3
liblzo2-2:amd64,2.08-1.2
libmagic-mgc,1:5.32-2ubuntu0.1
libmagic1:amd64,1:5.32-2ubuntu0.1
libmnl0:amd64,1.0.4-2
libmount1:amd64,2.31.1-0.4ubuntu3.1
libmp3lame0:amd64,3.100-2
libmpc-dev:amd64,1.1.0-1
libmpc3:amd64,1.1.0-1
libmpdec2:amd64,2.4.2-1ubuntu1
libmpfr-dev:amd64,4.0.1-1
libmpfr6:amd64,4.0.1-1
libmpg123-0:amd64,1.25.10-1
libmpx2:amd64,8.2.0-1ubuntu2~18.04
libmspack0:amd64,0.6-3ubuntu0.2
libmtdev1:amd64,1.1.5-1ubuntu3
libncurses5:amd64,6.1-1ubuntu1.18.04
libncursesw5:amd64,6.1-1ubuntu1.18.04
libnetfilter-conntrack3:amd64,1.0.6-2
libnettle6:amd64,3.4-1
libnewt0.52:amd64,0.52.20-1ubuntu1
libnfnetlink0:amd64,1.0.1-3
libnghttp2-14:amd64,1.30.0-1ubuntu1
libnih1:amd64,1.0.3-6ubuntu2
libnl-3-200:amd64,3.2.29-0ubuntu3
libnl-route-3-200:amd64,3.2.29-0ubuntu3
libnpth0:amd64,1.5-3
libnspr4:amd64,2:4.18-1ubuntu1
libnss-systemd:amd64,237-3ubuntu10.11
libnss3:amd64,2:3.35-2ubuntu2.1
libntfs-3g88,1:2017.3.23-2
libnuma1:amd64,2.0.11-2.1
libobjc4:amd64,8.2.0-1ubuntu2~18.04
libogg0:amd64,1.3.2-1
libopus0:amd64,1.1.2-1ubuntu1
liborc-0.4-0:amd64,1:0.4.28-1
libp11-kit0:amd64,0.23.9-2
libpam-cap:amd64,1:2.25-1.2
libpam-modules:amd64,1.1.8-3.6ubuntu2
libpam-modules-bin,1.1.8-3.6ubuntu2
libpam-runtime,1.1.8-3.6ubuntu2
libpam-systemd:amd64,237-3ubuntu10.11
libpam0g:amd64,1.1.8-3.6ubuntu2
libpango-1.0-0:amd64,1.40.14-1ubuntu0.1
libpangocairo-1.0-0:amd64,1.40.14-1ubuntu0.1
libpangoft2-1.0-0:amd64,1.40.14-1ubuntu0.1
libparted2:amd64,3.2-20
libpcap0.8:amd64,1.8.1-6ubuntu1
libpci3:amd64,1:3.5.2-1ubuntu1
libpciaccess0:amd64,0.14-1
libpcre16-3:amd64,2:8.39-9
libpcre2-16-0:amd64,10.31-2
libpcre3:amd64,2:8.39-9
libpcre3-dev:amd64,2:8.39-9
libpcre32-3:amd64,2:8.39-9
libpcrecpp0v5:amd64,2:8.39-9
